"","n","interim_fraction","MonitoringType","P","Proportion","FutilityPValue","EfficacyPValue","AlternativeRejectionRate0.8","NullRejectionRate0.05","TypeIIError","LevelOfSignificance"
"356",160,0.75,"FO",0.193265864371953,0.95,0.193265864371953,0,0.644,0.053,0.356,0.947
"357",160,0.75,"FO",0.193265864371953,1,0.193265864371953,0,0,0,1,1
"358",160,0.75,"EO",0.0183220688360937,0,1.99999999802682,0.0183220688360937,0.948,0.431,0.052,0.569
"359",160,0.75,"EO",0.0183220688360937,0.05,1.99999999802682,0.0183220688360937,0.836,0.163,0.164,0.837
"360",160,0.75,"EO",0.0183220688360937,0.1,1.99999999802682,0.0183220688360937,0.8,0.123,0.2,0.877
"361",160,0.75,"EO",0.0183220688360937,0.15,1.99999999802682,0.0183220688360937,0.744,0.094,0.256,0.906
"362",160,0.75,"EO",0.0183220688360937,0.2,1.99999999802682,0.0183220688360937,0.739,0.083,0.261,0.917
"363",160,0.75,"EO",0.0183220688360937,0.25,1.99999999802682,0.0183220688360937,0.697,0.066,0.303,0.934
"364",160,0.75,"EO",0.0183220688360937,0.3,1.99999999802682,0.0183220688360937,0.674,0.056,0.326,0.944
"365",160,0.75,"EO",0.0183220688360937,0.35,1.99999999802682,0.0183220688360937,0.674,0.056,0.326,0.944
"366",160,0.75,"EO",0.0183220688360937,0.4,1.99999999802682,0.0183220688360937,0.634,0.043,0.366,0.957
"367",160,0.75,"EO",0.0183220688360937,0.45,1.99999999802682,0.0183220688360937,0.601,0.039,0.399,0.961
"368",160,0.75,"EO",0.0183220688360937,0.5,1.99999999802682,0.0183220688360937,0.601,0.039,0.399,0.961
"369",160,0.75,"EO",0.0183220688360937,0.55,1.99999999802682,0.0183220688360937,0.594,0.037,0.406,0.963
"370",160,0.75,"EO",0.0183220688360937,0.6,1.99999999802682,0.0183220688360937,0.537,0.027,0.463,0.973
"371",160,0.75,"EO",0.0183220688360937,0.65,1.99999999802682,0.0183220688360937,0.534,0.027,0.466,0.973
"372",160,0.75,"EO",0.0183220688360937,0.7,1.99999999802682,0.0183220688360937,0.531,0.027,0.469,0.973
"373",160,0.75,"EO",0.0183220688360937,0.75,1.99999999802682,0.0183220688360937,0.468,0.02,0.532,0.98
"374",160,0.75,"EO",0.0183220688360937,0.8,1.99999999802682,0.0183220688360937,0.461,0.018,0.539,0.982
"375",160,0.75,"EO",0.0183220688360937,0.85,1.99999999802682,0.0183220688360937,0.421,0.013,0.579,0.987
"376",160,0.75,"EO",0.0183220688360937,0.9,1.99999999802682,0.0183220688360937,0.388,0.009,0.612,0.991
"377",160,0.75,"EO",0.0183220688360937,0.95,1.99999999802682,0.0183220688360937,0.31,0.007,0.69,0.993
"378",160,0.75,"EO",0.0183220688360937,1,1.99999999802682,0.0183220688360937,0,0,1,1
"379",160,0.75,"FE",0.0183910831118006,1,0.186275384393549,0.0183910831118006,0,0,1,1
"380",160,0.75,"FE",0.0183910831118006,0.85,0.186275384393549,0.0183910831118006,0.421,0.013,0.579,0.987
"381",160,0.75,"FE",0.0183910831118006,0.9,0.186275384393549,0.0183910831118006,0.388,0.009,0.612,0.991
"382",160,0.75,"FE",0.0183910831118006,0.75,0.186275384393549,0.0183910831118006,0.468,0.02,0.532,0.98
"383",160,0.75,"FE",0.0183910831118006,0.95,0.186275384393549,0.0183910831118006,0.31,0.007,0.69,0.993
"384",160,0.75,"FE",0.0183910831118006,0.8,0.186275384393549,0.0183910831118006,0.461,0.018,0.539,0.982
"385",160,0.75,"FE",0.0183910831118006,0.7,0.186275384393549,0.0183910831118006,0.531,0.027,0.469,0.973
"386",160,0.75,"FE",0.0183910831118006,0,0.186275384393549,0.0183910831118006,0.948,0.431,0.052,0.569
"387",160,0.75,"FE",0.0183910831118006,0.05,0.186275384393549,0.0183910831118006,0.836,0.163,0.164,0.837
"388",160,0.75,"FE",0.0183910831118006,0.1,0.186275384393549,0.0183910831118006,0.8,0.123,0.2,0.877
"389",160,0.75,"FE",0.0183910831118006,0.15,0.186275384393549,0.0183910831118006,0.744,0.094,0.256,0.906
"390",160,0.75,"FE",0.0183910831118006,0.2,0.186275384393549,0.0183910831118006,0.739,0.083,0.261,0.917
"391",160,0.75,"FE",0.0183910831118006,0.25,0.186275384393549,0.0183910831118006,0.697,0.066,0.303,0.934
"392",160,0.75,"FE",0.0183910831118006,0.3,0.186275384393549,0.0183910831118006,0.674,0.056,0.326,0.944
"393",160,0.75,"FE",0.0183910831118006,0.35,0.186275384393549,0.0183910831118006,0.674,0.056,0.326,0.944
"394",160,0.75,"FE",0.0183910831118006,0.4,0.186275384393549,0.0183910831118006,0.634,0.043,0.366,0.957
"395",160,0.75,"FE",0.0183910831118006,0.45,0.186275384393549,0.0183910831118006,0.601,0.039,0.399,0.961
"396",160,0.75,"FE",0.0183910831118006,0.5,0.186275384393549,0.0183910831118006,0.601,0.039,0.399,0.961
"397",160,0.75,"FE",0.0183910831118006,0.55,0.186275384393549,0.0183910831118006,0.594,0.037,0.406,0.963
"398",160,0.75,"FE",0.0183910831118006,0.6,0.186275384393549,0.0183910831118006,0.537,0.027,0.463,0.973
"399",160,0.75,"FE",0.0183910831118006,0.65,0.186275384393549,0.0183910831118006,0.534,0.027,0.466,0.973
"400",160,0.75,"FE",0.186275384393549,0.35,0.186275384393549,0.0183910831118006,0.881,0.248,0.119,0.752
"401",160,0.75,"FE",0.186275384393549,0.4,0.186275384393549,0.0183910831118006,0.881,0.238,0.119,0.762
"402",160,0.75,"FE",0.186275384393549,0.45,0.186275384393549,0.0183910831118006,0.88,0.232,0.12,0.768
"403",160,0.75,"FE",0.186275384393549,0.5,0.186275384393549,0.0183910831118006,0.851,0.2,0.149,0.8
"404",160,0.75,"FE",0.186275384393549,0.55,0.186275384393549,0.0183910831118006,0.845,0.187,0.155,0.813
"405",160,0.75,"FE",0.186275384393549,0.6,0.186275384393549,0.0183910831118006,0.845,0.181,0.155,0.819
"406",160,0.75,"FE",0.186275384393549,0.65,0.186275384393549,0.0183910831118006,0.816,0.158,0.184,0.842
"407",160,0.75,"FE",0.186275384393549,0.7,0.186275384393549,0.0183910831118006,0.801,0.134,0.199,0.866
"408",160,0.75,"FE",0.186275384393549,0.75,0.186275384393549,0.0183910831118006,0.8,0.128,0.2,0.872
"409",160,0.75,"FE",0.186275384393549,0.8,0.186275384393549,0.0183910831118006,0.752,0.101,0.248,0.899
"410",160,0.75,"FE",0.186275384393549,0.85,0.186275384393549,0.0183910831118006,0.74,0.095,0.26,0.905
"411",160,0.75,"FE",0.186275384393549,0.9,0.186275384393549,0.0183910831118006,0.685,0.069,0.315,0.931
"412",160,0.75,"FE",0.186275384393549,0.95,0.186275384393549,0.0183910831118006,0.644,0.051,0.356,0.949
"413",160,0.75,"FE",0.186275384393549,1,0.186275384393549,0.0183910831118006,0,0,1,1
"414",160,0.75,"FE",0.186275384393549,0,0.186275384393549,0.0183910831118006,1,0.982,0,0.018
"415",160,0.75,"FE",0.186275384393549,0.05,0.186275384393549,0.0183910831118006,0.966,0.537,0.034,0.463
"416",160,0.75,"FE",0.186275384393549,0.1,0.186275384393549,0.0183910831118006,0.947,0.439,0.053,0.561
"417",160,0.75,"FE",0.186275384393549,0.15,0.186275384393549,0.0183910831118006,0.943,0.404,0.0570000000000001,0.596
"418",160,0.75,"FE",0.186275384393549,0.2,0.186275384393549,0.0183910831118006,0.908,0.345,0.092,0.655
"419",160,0.75,"FE",0.186275384393549,0.25,0.186275384393549,0.0183910831118006,0.905,0.33,0.095,0.67
"420",160,0.75,"FE",0.186275384393549,0.3,0.186275384393549,0.0183910831118006,0.9,0.307,0.1,0.693
"421",600,0.25,"EO",1.47336168718759e-05,0,1.99999999802682,1.47336168718759e-05,0.718,0.42,0.282,0.58
"422",600,0.25,"EO",1.47336168718759e-05,0.05,1.99999999802682,1.47336168718759e-05,0.435,0.132,0.565,0.868
"423",600,0.25,"EO",1.47336168718759e-05,0.1,1.99999999802682,1.47336168718759e-05,0.379,0.104,0.621,0.896
"424",600,0.25,"EO",1.47336168718759e-05,0.15,1.99999999802682,1.47336168718759e-05,0.359,0.089,0.641,0.911
"425",600,0.25,"EO",1.47336168718759e-05,0.2,1.99999999802682,1.47336168718759e-05,0.314,0.075,0.686,0.925
"426",600,0.25,"EO",1.47336168718759e-05,0.25,1.99999999802682,1.47336168718759e-05,0.306,0.064,0.694,0.936
"427",600,0.25,"EO",1.47336168718759e-05,0.3,1.99999999802682,1.47336168718759e-05,0.271,0.059,0.729,0.941
"428",600,0.25,"EO",1.47336168718759e-05,0.35,1.99999999802682,1.47336168718759e-05,0.258,0.05,0.742,0.95
"429",600,0.25,"EO",1.47336168718759e-05,0.4,1.99999999802682,1.47336168718759e-05,0.255,0.046,0.745,0.954
"430",600,0.25,"EO",1.47336168718759e-05,0.45,1.99999999802682,1.47336168718759e-05,0.219,0.038,0.781,0.962
"431",600,0.25,"EO",1.47336168718759e-05,0.5,1.99999999802682,1.47336168718759e-05,0.205,0.029,0.795,0.971
"432",600,0.25,"EO",1.47336168718759e-05,0.55,1.99999999802682,1.47336168718759e-05,0.2,0.028,0.8,0.972
"433",600,0.25,"EO",1.47336168718759e-05,0.6,1.99999999802682,1.47336168718759e-05,0.171,0.028,0.829,0.972
"434",600,0.25,"EO",1.47336168718759e-05,0.65,1.99999999802682,1.47336168718759e-05,0.162,0.024,0.838,0.976
"435",600,0.25,"EO",1.47336168718759e-05,0.7,1.99999999802682,1.47336168718759e-05,0.156,0.022,0.844,0.978
"436",600,0.25,"EO",1.47336168718759e-05,0.75,1.99999999802682,1.47336168718759e-05,0.129,0.018,0.871,0.982
"437",600,0.25,"EO",1.47336168718759e-05,0.8,1.99999999802682,1.47336168718759e-05,0.125,0.015,0.875,0.985
"438",600,0.25,"EO",1.47336168718759e-05,0.85,1.99999999802682,1.47336168718759e-05,0.098,0.012,0.902,0.988
"439",600,0.25,"EO",1.47336168718759e-05,0.9,1.99999999802682,1.47336168718759e-05,0.081,0.009,0.919,0.991
